관광지명,,관광지구분,소재지도로명주소,,,,,소재지지번주소,,,,위도,경도
대성관광지,,관광지,경기도 가평군 청평면 대성강변길 14,,,,,경기도 가평군 청평면 대성리 601-3,,,,37.681431,127.379521
산장관광지,,관광지,경기도 가평군 상면 덕현산장길 71 산장관광지,,,,,경기도 가평군 상면 덕현리 21,,,,37.754183,127.410629
고양관광정보센터,,관광지,경기도 고양시 일산동구 중앙로1271-1,,,,,경기도 고양시 일산동구 장항동845,,,,37.65948674,126.7726989
행주산성,,관광지,경기도 고양시 덕양구 행주로 15번길 89,,,,,경기도 고양시 덕양구 행주외동116,,,,37.59610775,126.8287118
나들라온,,관광지,경기도 고양시 일산동구 장대들길 747,,,,,경기도 고양시 일산동구 장항동 537-43,,,,37.64063549,126.7560031
유니온파크,,관광지,경기도 하남시 미사대로 710,,,,,경기도 하남시 신장동 27,,,,37.54654783,127.2205032
광주향교,,관광지,경기도 하남시 대성로 126-13,,,,,경기도 하남시 교산동 227-3,,,,37.52207622,127.1984175
이성산성,,관광지,,,,,,경기도 하남시 춘궁동 산 36,,,,37.52530687,127.1847777
신륵사관광지,,관광지,경기도 여주시 신륵사길 73,,,,,경기도 여주시 천송동 289-7,,,,37.29742583,127.6599364
김포함상공원,,관광지,경기도 김포시 대곶면 대명항1로 110-36,,,,,경기도 김포시 대곶면 대명리 551-1,,,,37.6406387,126.539261
임진각관광지,,관광지,경기도 파주시 문산읍 임진각로 177,,,,,경기도 파주시 문산읍 마정리 1360-44 일원,,,,37.88953876,126.7401859
