시군명,사업장명,인허가일자,영업상태명,폐업일자,총시설규모(㎡),위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,쏠,20041117,폐업,20151112,91.82,까페,경기도 수원시 장안구 덕영대로497번길 8-9 (천천동),경기도 수원시 장안구 천천동 503-11 ,,37.29928105,126.9782484
수원시,제이레스,20080625,폐업,20110530,125.84,까페,,경기도 수원시 팔달구 신풍동 274-1 ,,37.28256914,127.0162217
수원시,카페그리다,20140625,폐업,20191209,33.28,까페,"경기도 수원시 권선구 금곡로102번길 49-10, 1층 (금곡동)",경기도 수원시 권선구 금곡동 605-1 1층 ,,37.27217503,126.9423873
수원시,향기,20120323,폐업,20120913,17.48,까페,"경기도 수원시 팔달구 인계로29번길 43, 1층 (인계동)",경기도 수원시 팔달구 인계동 859-37 1층 ,,37.27196342,127.0209439
수원시,루카917(LUKA917),20050708,폐업,20190520,46.02,까페,"경기도 수원시 팔달구 권광로 363, 110호 (우만동, 월드프라자)",경기도 수원시 팔달구 우만동 133 월드프라자 110호,,37.27933505,127.0371901
수원시,비비킹,20121121,폐업,20130220,247.09,까페,"경기도 수원시 영통구 반달로7번길 30 (영통동, 998-2 르네상스시티프라자 405호)",경기도 수원시 영통구 영통동 998-2 르네상스시티프라자 405호 ,,37.25319179,127.0749004
수원시,리치빈스Ⅱ,20080527,폐업,20190619,57.72,까페,"경기도 수원시 장안구 경수대로 950, 238호 (조원동, 아일렛쇼핑타운 )",경기도 수원시 장안구 조원동 893 아일렛쇼핑타운 238호,,37.30354376,127.0075006
수원시,등불,20100317,폐업,20130603,92.85,까페,"경기도 수원시 팔달구 권광로196번길 56, 2층 (인계동)",경기도 수원시 팔달구 인계동 1118-6 2층 ,,37.26400789,127.0363027
수원시,깡통속의선율,20110420,폐업,20131121,87,까페,"경기도 수원시 장안구 서부로 2127 (율전동,지하)",경기도 수원시 장안구 율전동 291-6 지하 ,,37.29850172,126.9712244
수원시,카페(Cafe)만나다,20120711,폐업,20140707,29.58,까페,"경기도 수원시 권선구 동수원로145번길 74, 상가1동 106호 (권선동, 수원아이파크시티1단지)",경기도 수원시 권선구 권선동 1360 수원아이파크시티1단지 상가1동 106호,,37.24532144,127.0270588
수원시,뜨락,20070308,폐업,20150105,43.6,까페,,경기도 수원시 권선구 구운동 136-8 (지층) ,,,
수원시,아바(ABBA),20030509,폐업,20130603,100,까페,"경기도 수원시 장안구 대평로 80 (정자동,정연메이져 205호)",경기도 수원시 장안구 정자동 877-4 정연메이져 205호 ,,37.29552587,126.9936075
수원시,카페(cafe)울룰루,20070711,폐업,20140716,27,까페,경기도 수원시 권선구 삼천병마로1592번길 3 (오목천동),경기도 수원시 권선구 오목천동 500-1 ,,37.24494355,126.9637626
수원시,발리,20030114,폐업,20190403,68.04,까페,경기도 수원시 영통구 청명로 41 (영통동),경기도 수원시 영통구 영통동 1027-5 ,,37.25112057,127.0805163
수원시,베스트빈,20080804,폐업,20200630,65.4,까페,"경기도 수원시 팔달구 덕영대로 693 (화서동,풍성프라자 201호)",경기도 수원시 팔달구 화서동 644-1 풍성프라자 201호 ,,37.28491093,126.990204
수원시,아마스빈버블티 아주대점,2004-10-11,폐업,2024-11-18,17.5,까페,"경기도 수원시 팔달구 아주로47번길 7, 1층 (우만동)",경기도 수원시 팔달구 우만동 58-15 1층 ,16497,37.2790613903,127.0433169511
수원시,핑크,20001212,폐업,20060703,24.42,까페,경기도 수원시 영통구 매여울로10번길 29,경기도 수원시 영통구 매탄동 196-70 ,,37.27112511,127.0469629
수원시,카페라인,20061009,폐업,20090105,99.15,까페,,경기도 수원시 팔달구 신풍동 225-1 ,,37.28307375,127.0158384
수원시,종다방,20150409,폐업,20220602,62.72,까페,"경기도 수원시 팔달구 정조로810번길 7-16, 지하층 (팔달로1가)",경기도 수원시 팔달구 팔달로1가 8-1 ,,37.28101349,127.0173374
수원시,가마지기,20030129,폐업,20120321,46.87,까페,경기도 수원시 영통구 반달로 26,경기도 수원시 영통구 영통동 1008-6 ,,37.25123571,127.0748889
수원시,아띠,20030109,폐업,20081007,169.29,까페,경기도 수원시 팔달구 중부대로3번길 8,경기도 수원시 팔달구 팔달로3가 31-5 ,,37.2756503,127.0173604
수원시,정마루,20030723,폐업,20140801,35.25,까페,"경기도 수원시 장안구 파장로 38 (파장동,,23 청도주택)","경기도 수원시 장안구 파장동 599-22 ,23 청도주택 ",,37.30525579,126.9966454
수원시,나인,20050530,폐업,20090427,111,까페,경기도 수원시 영통구 효원로 397,경기도 수원시 영통구 매탄동 1267-7 중앙프라자 901호 ,,37.25905754,127.0451632
수원시,예원,20040615,폐업,20090608,21.95,까페,경기도 수원시 장안구 장안로 297,경기도 수원시 장안구 정자동 547-28 ,,37.30805503,126.989382
수원시,커피라는두글자,20140519,폐업,20171129,37.8,까페,경기도 수원시 팔달구 인계로 91 (인계동),경기도 수원시 팔달구 인계동 951-10 ,,37.26860733,127.0277704
수원시,주식회사설빙수원매탄삼성점,20020903,폐업,20140509,151.54,까페,"경기도 수원시 영통구 효원로 397 (매탄동,중앙프라자 2층202호)",경기도 수원시 영통구 매탄동 1267-7 중앙프라자 2층202호 ,,37.25905754,127.0451632
수원시,커피콩,19950504,폐업,20131231,112.87,까페,경기도 수원시 팔달구 중부대로 21 (영동),경기도 수원시 팔달구 영동 36-1 ,,37.27537822,127.0191668
수원시,오즈의마법사,20130129,폐업,20140409,669.66,까페,"경기도 수원시 영통구 영통로 195 (망포동, 322-3외12필지 골든스퀘어 601호)",경기도 수원시 영통구 망포동 322-3 외12필지 골든스퀘어 601호 ,,37.24516233,127.0558003
수원시,songs(쏭즈),20130312,폐업,20150327,31.9,까페,"경기도 수원시 팔달구 매산로 129-7, 1층 (교동)",경기도 수원시 팔달구 교동 88-1 1층 ,,37.27229395,127.0143815
수원시,7080 아바,20090309,폐업,20111012,124.54,까페,경기도 수원시 권선구 권중로76번길 8,경기도 수원시 권선구 권선동 1259-6 지1층 ,,37.25238985,127.0296871
수원시,리치,20001222,폐업,20051205,140,까페,경기도 수원시 팔달구 행궁로84번길 20,경기도 수원시 팔달구 팔달로3가 131-11 ,,37.27479176,127.0146136
수원시,진달래,20101125,폐업,20110610,64.95,까페,경기도 수원시 팔달구 매산로 26,"경기도 수원시 팔달구 매산로2가 65-19 ,지하1층 ",,37.26759232,127.0043851
수원시,KOGA(고가),2012-09-26,폐업,2024-03-22,62.68,까페,"경기도 수원시 팔달구 화서문로 32, 1층 (신풍동)",경기도 수원시 팔달구 신풍동 114-1 1층 ,,37.28485615,127.0114128
수원시,에이그레이트수원역점,19960426,폐업,20211129,38.42,까페,경기도 수원시 팔달구 향교로 34 (매산로2가),경기도 수원시 팔달구 매산로2가 37-1 ,,37.26862097,127.0046378
수원시,이상엽생고기엔등갈비,20040304,폐업,20211029,102.66,까페,"경기도 수원시 영통구 매영로345번길 95 (영통동,동아프라자104호105호)",경기도 수원시 영통구 영통동 961-4 동아프라자104호105호 ,,37.25557492,127.0733534
수원시,온더로드,20130402,폐업,20150526,26.06,까페,"경기도 수원시 영통구 삼성로 172-4 (매탄동, 436-44번지 1층일부)",경기도 수원시 영통구 매탄동 436-44 1층일부 ,,37.25836483,127.0574143
수원시,휴&락 라운지 경기 아틀리에,20130129,폐업,20150617,38.88,까페,"경기도 수원시 팔달구 매산로 37, 2층 (매산로2가)",경기도 수원시 팔달구 매산로2가 40-13 KT&amp;G 수원빌딩 ,,37.26852512,127.0054279
수원시,모던,20060523,폐업,20130326,61.08,까페,"경기도 수원시 팔달구 팔달문로3번길 24, 2층 (팔달로2가)",경기도 수원시 팔달구 팔달로2가 29-1 ,,37.27869899,127.0178485
수원시,처음처럼,20050607,폐업,20070305,65.28,까페,경기도 수원시 영통구 청명로 71,경기도 수원시 영통구 영통동 1045-4 1층 ,,37.25339694,127.0793422
수원시,카페 인,20120629,폐업,20150810,27.94,까페,"경기도 수원시 영통구 신원로 108 (망포동, 10-14번지 1층)",경기도 수원시 영통구 망포동 10-14 1층 ,,37.24787533,127.0533488
수원시,아이모카페테리아,20080114,폐업,20150108,387.9,까페,경기도 수원시 팔달구 경수대로565번길 51 (인계동),경기도 수원시 팔달구 인계동 243-3 ,,37.27568161,127.027354
수원시,도손도손,20110708,폐업,20140730,0,까페,"경기도 수원시 팔달구 권광로196번길 57, 105호 (인계동, 삼환아르누보파크)",경기도 수원시 팔달구 인계동 1116-5 삼환아르누보파크 105호,,37.26444121,127.0364692
수원시,라비타,20141030,폐업,20170310,100.67,까페,경기도 수원시 영통구 광교중앙로25번길 106 (원천동),경기도 수원시 영통구 원천동 577-7 ,,37.27747591,127.050636
수원시,카페젠,20121126,폐업,20211229,21.64,까페,경기도 수원시 팔달구 행궁로 98 (교동),경기도 수원시 팔달구 교동 103-1 ,,37.27378601,127.015545
수원시,공릉동멸치국수,20120626,폐업,20141001,132.18,까페,"경기도 수원시 영통구 아주로 20 (원천동, 25-15 2층)",경기도 수원시 영통구 원천동 25-15 2층 ,,37.27661283,127.0441552
수원시,커피에 반하다,20120423,폐업,20130405,19.13,까페,"경기도 수원시 영통구 효원로 393 (매탄동, 1267-5 외1필지 밀래니엄프라자 117호(일부))",경기도 수원시 영통구 매탄동 1267-5 ,,37.25911886,127.0447004
수원시,마노아,20130415,폐업,20211013,92.26,까페,"경기도 수원시 영통구 법조로149번길 248, 1층 (하동)",경기도 수원시 영통구 하동 966-3 ,,37.29359852,127.0691448
수원시,째즈,20020509,폐업,20120321,107.8,까페,경기도 수원시 영통구 청명북로 96-29,경기도 수원시 영통구 영통동 1051-2 ,,37.26089336,127.0809809
수원시,커피좋은날,20141002,폐업,20180307,28,까페,경기도 수원시 영통구 권선로908번길 26-11 (신동),경기도 수원시 영통구 신동 594-10 ,,37.24792213,127.0443393
수원시,G커피앤카페,20120326,폐업,20120330,0,까페,경기도 수원시 팔달구 장다리로 179 (인계동),경기도 수원시 팔달구 인계동 997 ,,37.26600608,127.0242114
수원시,풍경,20041012,폐업,20070112,60.37,까페,경기도 수원시 권선구 칠보로 243,경기도 수원시 권선구 호매실동 79-1 ,,37.27020681,126.9591847
수원시,카페탑,2012-11-23,폐업,2023-10-26,46,까페,경기도 수원시 권선구 금호로 240 (탑동),경기도 수원시 권선구 탑동 759-9 102호,,37.27540348,126.9762588
수원시,과일이랑,20021101,폐업,20030527,104.83,까페,경기도 수원시 영통구 아주로 42,경기도 수원시 영통구 원천동 18-2 ,,37.27855052,127.0440758
수원시,닥터로빈 광교점,20150521,폐업,20161106,230.39,까페,"경기도 수원시 영통구 센트럴타운로 85, ab04-1,2호 (이의동, 아브뉴프랑)",경기도 수원시 영통구 이의동 1332 ,,37.29089446,127.0498003
수원시,카페글룩,20131016,폐업,20180122,34.18,까페,"경기도 수원시 장안구 영화로 25, 1층 (영화동)",경기도 수원시 장안구 영화동 416-16 ,,37.28940768,127.0091158
수원시,베니스,19911224,폐업,20060112,73.09,까페,경기도 수원시 영통구 중부대로246번길 48-5,경기도 수원시 영통구 매탄동 172-50 ,,37.27293362,127.0414252
수원시,로이스,20100408,폐업,20221227,14.76,까페,경기도 수원시 팔달구 정조로795번길 16-15 (남창동),경기도 수원시 팔달구 남창동 80 1층 ,,37.27982426,127.0152807
수원시,크리스마스자몽파인트리점,20130222,폐업,20171222,86.09,까페,"경기도 수원시 장안구 장안로 312, 104호 (파장동)",경기도 수원시 장안구 파장동 570-8 104호,,37.30929638,126.9887868
수원시,리치카페,20090724,폐업,20100422,44.4,까페,경기도 수원시 장안구 송정로187번길 55,경기도 수원시 장안구 조원동 757-22 103호 ,,37.30060722,127.0145267
수원시,샤르망,19911216,폐업,20130819,65.56,까페,경기도 수원시 장안구 만석로177번길 33 (송죽동),경기도 수원시 장안구 송죽동 488 ,,37.30348356,126.9974696
수원시,열매씨,20150206,폐업,20210915,102,까페,"경기도 수원시 영통구 센트럴파크로127번길 138, 지층 (이의동)",경기도 수원시 영통구 이의동 1319-4 ,,37.29385256,127.0549726
수원시,퍼즐카페,20110906,폐업,20140522,147.2,까페,"경기도 수원시 권선구 권선로 655 (권선동,4층)",경기도 수원시 권선구 권선동 962-5 4층 ,,37.26044978,127.0232878
